ID,Date,Time,Description,IP Address,Host Name,MAC Address,User Name, TransactionID, QResult,Probationtime, CorrelationID,Dhcid,VendorClass(Hex),VendorClass(ASCII),UserClass(Hex),UserClass(ASCII),RelayAgentInformation,DnsRegError.
00,06/06/17,12:24:41,Started,,,,,0,6,,,,,,,,,0
55,06/06/17,12:24:41,Authorized(servicing),,sec555.com,,,0,6,,,,,,,,,0
30,06/06/17,12:33:04,DNS Update Request,192.168.2.52,assistant01.sec555.com,,,0,6,,,,,,,,,0
11,06/06/17,12:33:04,Renew,192.168.2.52,assistant01.sec555.com,000C29F8067B,,1601996015,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
32,06/06/17,12:33:04,DNS Update Successful,192.168.2.52,assistant01.sec555.com,,,0,6,,,,,,,,,0
30,06/06/17,12:33:09,DNS Update Request,192.168.0.92,CFO.sec555.com,,,0,6,,,,,,,,,0
11,06/06/17,12:33:09,Renew,192.168.0.92,CFO.sec555.com,000C29A63523,,3638024443,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
32,06/06/17,12:33:09,DNS Update Successful,192.168.0.92,CFO.sec555.com,,,0,6,,,,,,,,,0
30,06/06/17,12:33:31,DNS Update Request,192.168.1.52,IT01.sec555.com,,,0,6,,,,,,,,,0
11,06/06/17,12:33:31,Renew,192.168.1.52,IT01.sec555.com,000C29864EFC,,3182866731,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
32,06/06/17,12:33:31,DNS Update Successful,192.168.1.52,IT01.sec555.com,,,0,6,,,,,,,,,0
30,06/06/17,12:33:45,DNS Update Request,192.168.1.50,IT02.sec555.com,,,0,6,,,,,,,,,0
11,06/06/17,12:33:45,Renew,192.168.1.50,IT02.sec555.com,000C2929DF23,,2582071637,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
32,06/06/17,12:33:45,DNS Update Successful,192.168.1.50,IT02.sec555.com,,,0,6,,,,,,,,,0
30,06/06/17,12:33:53,DNS Update Request,192.168.1.51,IT03.sec555.com,,,0,6,,,,,,,,,0
11,06/06/17,12:33:53,Renew,192.168.1.51,IT03.sec555.com,000C29128B03,,3656979469,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
32,06/06/17,12:33:53,DNS Update Successful,192.168.1.51,IT03.sec555.com,,,0,6,,,,,,,,,0
24,06/06/17,13:24:41,Database Cleanup Begin,,,,,0,6,,,,,,,,,0
